"Laikotarpis","Rodiklis","Matavimo vienetai","Reikšmė"
"2007M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3224748"
"2007M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2663"
"2007M09","Mėnesinis mirusiųjų skaičius","asmenys","3470"
"2007M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3228000"
"2007M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2761"
"2007M08","Mėnesinis mirusiųjų skaičius","asmenys","3528"
"2007M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3230620"
"2007M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2660"
"2007M07","Mėnesinis mirusiųjų skaičius","asmenys","3330"
"2007M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3233493"
"2007M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2428"
"2007M06","Mėnesinis mirusiųjų skaičius","asmenys","3423"
"2007M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3236852"
"2007M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2584"
"2007M05","Mėnesinis mirusiųjų skaičius","asmenys","4001"
"2007M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3239927"
"2007M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2295"
"2007M04","Mėnesinis mirusiųjų skaičius","asmenys","3674"
"2007M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3243585"
"2007M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2571"
"2007M03","Mėnesinis mirusiųjų skaičius","asmenys","4505"
"2007M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3246783"
"2007M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2219"
"2007M02","Mėnesinis mirusiųjų skaičius","asmenys","3923"
"2007M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3249983"
"2007M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2467"
"2007M01","Mėnesinis mirusiųjų skaičius","asmenys","4040"
"2006M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3253634"
"2006M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2316"
"2006M12","Mėnesinis mirusiųjų skaičius","asmenys","3974"
"2006M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3257015"
"2006M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2415"
"2006M11","Mėnesinis mirusiųjų skaičius","asmenys","3745"
"2006M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3260482"
"2006M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2431"
"2006M10","Mėnesinis mirusiųjų skaičius","asmenys","3741"
"2006M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3263274"
"2006M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2612"
"2006M09","Mėnesinis mirusiųjų skaičius","asmenys","3290"
"2006M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3266569"
"2006M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2609"
"2006M08","Mėnesinis mirusiųjų skaičius","asmenys","3265"
"2006M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3269707"
"2006M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2722"
"2006M07","Mėnesinis mirusiųjų skaičius","asmenys","3655"
"2006M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3273155"
"2006M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2576"
"2006M06","Mėnesinis mirusiųjų skaičius","asmenys","3721"
"2006M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3276566"
"2006M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2516"
"2006M05","Mėnesinis mirusiųjų skaičius","asmenys","3733"
"2006M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3279564"
"2006M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2355"
"2006M04","Mėnesinis mirusiųjų skaičius","asmenys","3784"
"2006M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3282988"
"2006M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2460"
"2006M03","Mėnesinis mirusiųjų skaičius","asmenys","3903"
"2006M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3286151"
"2006M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2249"
"2006M02","Mėnesinis mirusiųjų skaičius","asmenys","3614"
"2006M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3289835"
"2006M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2345"
"2006M01","Mėnesinis mirusiųjų skaičius","asmenys","4388"
"2005M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3294592"
"2005M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2259"
"2005M12","Mėnesinis mirusiųjų skaičius","asmenys","3929"
"2005M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3298671"
"2005M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2320"
"2005M11","Mėnesinis mirusiųjų skaičius","asmenys","3668"
"2005M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3303514"
"2005M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2379"
"2005M10","Mėnesinis mirusiųjų skaičius","asmenys","3720"
"2005M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3308584"
"2005M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2541"
"2005M09","Mėnesinis mirusiųjų skaičius","asmenys","3310"
"2005M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3315496"
"2005M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2596"
"2005M08","Mėnesinis mirusiųjų skaičius","asmenys","3387"
"2005M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3321136"
"2005M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2719"
"2005M07","Mėnesinis mirusiųjų skaičius","asmenys","3392"
"2005M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3327021"
"2005M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2500"
"2005M06","Mėnesinis mirusiųjų skaičius","asmenys","3413"
"2005M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3333010"
"2005M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2425"
"2005M05","Mėnesinis mirusiųjų skaičius","asmenys","3823"
"2005M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3338595"
"2005M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2409"
"2005M04","Mėnesinis mirusiųjų skaičius","asmenys","3724"
"2005M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3344289"
"2005M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2619"
"2005M03","Mėnesinis mirusiųjų skaičius","asmenys","4208"
"2005M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3349478"
"2005M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2239"
"2005M02","Mėnesinis mirusiųjų skaičius","asmenys","3436"
"2005M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3355220"
"2005M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2504"
"2005M01","Mėnesinis mirusiųjų skaičius","asmenys","3789"
"2004M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3359520"
"2004M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2363"
"2004M12","Mėnesinis mirusiųjų skaičius","asmenys","3719"
"2004M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3363286"
"2004M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2315"
"2004M11","Mėnesinis mirusiųjų skaičius","asmenys","3446"
"2004M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3367572"
"2004M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2332"
"2004M10","Mėnesinis mirusiųjų skaičius","asmenys","3657"
"2004M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3371453"
"2004M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2418"
"2004M09","Mėnesinis mirusiųjų skaičius","asmenys","3160"
"2004M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3375585"
"2004M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2669"
"2004M08","Mėnesinis mirusiųjų skaičius","asmenys","3125"
"2004M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3379257"
"2004M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2808"
"2004M07","Mėnesinis mirusiųjų skaičius","asmenys","3253"
"2004M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3383204"
"2004M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2591"
"2004M06","Mėnesinis mirusiųjų skaičius","asmenys","3234"
"2004M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3386170"
"2004M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2426"
"2004M05","Mėnesinis mirusiųjų skaičius","asmenys","3390"
"2004M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3388989"
"2004M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2469"
"2004M04","Mėnesinis mirusiųjų skaičius","asmenys","3336"
"2004M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3392297"
"2004M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2578"
"2004M03","Mėnesinis mirusiųjų skaičius","asmenys","3494"
"2004M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3395493"
"2004M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2258"
"2004M02","Mėnesinis mirusiųjų skaičius","asmenys","3526"
"2004M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3398929"
"2004M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2542"
"2004M01","Mėnesinis mirusiųjų skaičius","asmenys","4000"
"2003M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3401838"
"2003M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2463"
"2003M12","Mėnesinis mirusiųjų skaičius","asmenys","3765"
"2003M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3404758"
"2003M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2296"
"2003M11","Mėnesinis mirusiųjų skaičius","asmenys","3383"
"2003M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3408178"
"2003M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2513"
"2003M10","Mėnesinis mirusiųjų skaičius","asmenys","3578"
"2003M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3411073"
"2003M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2597"
"2003M09","Mėnesinis mirusiųjų skaičius","asmenys","3040"
"2003M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3414004"
"2003M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2575"
"2003M08","Mėnesinis mirusiųjų skaičius","asmenys","2974"
"2003M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3416798"
"2003M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2877"
"2003M07","Mėnesinis mirusiųjų skaičius","asmenys","3203"
"2003M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3419360"
"2003M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2502"
"2003M06","Mėnesinis mirusiųjų skaičius","asmenys","3090"
"2003M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3422555"
"2003M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2567"
"2003M05","Mėnesinis mirusiųjų skaičius","asmenys","3461"
"2003M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3424991"
"2003M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2482"
"2003M04","Mėnesinis mirusiųjų skaičius","asmenys","3547"
"2003M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3427520"
"2003M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2494"
"2003M03","Mėnesinis mirusiųjų skaičius","asmenys","3886"
"2003M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3429459"
"2003M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2154"
"2003M02","Mėnesinis mirusiųjų skaičius","asmenys","3148"
"2003M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3431497"
"2003M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2457"
"2003M01","Mėnesinis mirusiųjų skaičius","asmenys","3915"
"2002M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3434459"
"2002M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2286"
"2002M12","Mėnesinis mirusiųjų skaičius","asmenys","3998"
"2002M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3436325"
"2002M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2170"
"2002M11","Mėnesinis mirusiųjų skaičius","asmenys","3448"
"2002M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3438399"
"2002M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2413"
"2002M10","Mėnesinis mirusiųjų skaičius","asmenys","3579"
"2002M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3439717"
"2002M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2537"
"2002M09","Mėnesinis mirusiųjų skaičius","asmenys","3074"
"2002M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3441528"
"2002M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2607"
"2002M08","Mėnesinis mirusiųjų skaičius","asmenys","3048"
"2002M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3443128"
"2002M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2674"
"2002M07","Mėnesinis mirusiųjų skaičius","asmenys","3187"
"2002M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3444866"
"2002M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2396"
"2002M06","Mėnesinis mirusiųjų skaičius","asmenys","3028"
"2002M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3446583"
"2002M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2578"
"2002M05","Mėnesinis mirusiųjų skaičius","asmenys","3401"
"2002M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3448567"
"2002M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2438"
"2002M04","Mėnesinis mirusiųjų skaičius","asmenys","3620"
"2002M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3451452"
"2002M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2641"
"2002M03","Mėnesinis mirusiųjų skaičius","asmenys","3714"
"2002M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3452883"
"2002M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2311"
"2002M02","Mėnesinis mirusiųjų skaičius","asmenys","3222"
"2002M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3454637"
"2002M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2490"
"2002M01","Mėnesinis mirusiųjų skaičius","asmenys","3753"
"2001M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3458217"
"2001M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2301"
"2001M12","Mėnesinis mirusiųjų skaičius","asmenys","3904"
"2001M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3461146"
"2001M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2286"
"2001M11","Mėnesinis mirusiųjų skaičius","asmenys","3415"
"2001M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3464206"
"2001M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2506"
"2001M10","Mėnesinis mirusiųjų skaičius","asmenys","3593"
"2001M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3466659"
"2001M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2459"
"2001M09","Mėnesinis mirusiųjų skaičius","asmenys","3078"
"2001M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3469396"
"2001M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2579"
"2001M08","Mėnesinis mirusiųjų skaičius","asmenys","2940"
"2001M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3472131"
"2001M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2841"
"2001M07","Mėnesinis mirusiųjų skaičius","asmenys","3223"
"2001M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3474422"
"2001M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2682"
"2001M06","Mėnesinis mirusiųjų skaičius","asmenys","3240"
"2001M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3476605"
"2001M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2872"
"2001M05","Mėnesinis mirusiųjų skaičius","asmenys","3316"
"2001M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3479127"
"2001M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2667"
"2001M04","Mėnesinis mirusiųjų skaičius","asmenys","3314"
"2001M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3481653"
"2001M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2762"
"2001M03","Mėnesinis mirusiųjų skaičius","asmenys","3449"
"2001M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3484237"
"2001M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2494"
"2001M02","Mėnesinis mirusiųjų skaičius","asmenys","3203"
"2001M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3486998"
"2001M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2736"
"2001M01","Mėnesinis mirusiųjų skaičius","asmenys","3724"
